Scenario,CustomerName,Question,BestAnswer
1,Customer1,"배송 지연으로 환불하려 했는데 결제가 아직도 승인 대기(Pending)래요. 그런데 상담원이 이미 환불 된다고 했지만 입금이 없네요. OrderID=20001, PaymentID=30001. 상태 확인 부탁해요!","Customer1님, 주문 20001 결제(30001)가 현재 승인 대기 상태여서 시스템이 환불 금액을 자동 이체하지 못했습니다. 카드사 승인 완료 후 즉시 ₩189이 동일 수단으로 최대 3영업일 내 입금될 예정입니다. 승인 완료 알림도 곧 전달드리겠습니다. 추가 궁금 사항이 있으면 알려주세요."
2,Customer2,"승인 완료인데 환불은 '처리 중'으로만 뜨네요. 언제 입금되나요? OrderID=20002, PaymentID=30002.","Customer2님, 주문 20002 환불이 2025-06-12에 승인돼 현재 카드사 처리 중입니다. 영업일 기준 1~2일 내 입금되며, 지연 시 자동 알림 드리겠습니다."
3,Customer3,"메일엔 환불 완료라고 적혀 있는데 통장에 돈이 없습니다. OrderID=20003, PaymentID=30003. 무슨 문제인가요?","Customer3님, 시스템상 환불은 완료되었고 승인 수단으로 ₩216이 6월 12일 정산되었습니다. 카드사별 반영까지 최대 2영업일이 소요될 수 있으니 내일까지 미반영 시 다시 알려주세요."
4,Customer4,"결제가 아직 승인 전인데 환불 요청하려면 어떻게 해야 하나요? OrderID=20004, PaymentID=30004.","Customer4님, 결제가 승인되기 전에는 환불 절차를 시작할 수 없습니다. 승인이 완료되는 즉시 환불 요청을 진행해 드리며 승인 시점을 별도로 안내드리겠습니다."
5,Customer5,"환불 거절됐다고 연락받았는데 사유 설명 부탁드립니다. OrderID=20005, PaymentID=30005.","Customer5님, 요청하신 환불은 이용 약관 22조(상품 개봉 후 사용) 사유로 거절되었습니다. 추가 서류(제품 결함 사진) 제출 시 재심의 가능하니 필요 시 자료를 보내주시면 빠르게 도와드리겠습니다."
6,Customer6,"메일엔 환불 완료라고 적혀 있는데 통장에 돈이 없습니다. OrderID=20006, PaymentID=30006. 무슨 문제인가요?","Customer6님, 시스템상 환불은 완료되었고 승인 수단으로 ₩101이 6월 12일 정산되었습니다. 카드사별 반영까지 최대 2영업일이 소요될 수 있으니 내일까지 미반영 시 다시 알려주세요."
7,Customer7,"결제가 아직 승인 전인데 환불 요청하려면 어떻게 해야 하나요? OrderID=20007, PaymentID=30007.","Customer7님, 결제가 승인되기 전에는 환불 절차를 시작할 수 없습니다. 승인이 완료되는 즉시 환불 요청을 진행해 드리며 승인 시점을 별도로 안내드리겠습니다."
8,Customer8,"승인 완료인데 환불은 '처리 중'으로만 뜨네요. 언제 입금되나요? OrderID=20008, PaymentID=30008.","Customer8님, 주문 20008 환불이 2025-06-12에 승인돼 현재 카드사 처리 중입니다. 영업일 기준 1~2일 내 입금되며, 지연 시 자동 알림 드리겠습니다."
9,Customer9,"메일엔 환불 완료라고 적혀 있는데 통장에 돈이 없습니다. OrderID=20009, PaymentID=30009. 무슨 문제인가요?","Customer9님, 시스템상 환불은 완료되었고 승인 수단으로 ₩95이 6월 12일 정산되었습니다. 카드사별 반영까지 최대 2영업일이 소요될 수 있으니 내일까지 미반영 시 다시 알려주세요."
10,Customer10,"메일엔 환불 완료라고 적혀 있는데 통장에 돈이 없습니다. OrderID=20010, PaymentID=30010. 무슨 문제인가요?","Customer10님, 시스템상 환불은 완료되었고 승인 수단으로 ₩257이 6월 12일 정산되었습니다. 카드사별 반영까지 최대 2영업일이 소요될 수 있으니 내일까지 미반영 시 다시 알려주세요."
