scenario_id,user_id,question,best_answer
1,1,"제 계정에 ‘192.300.1.256’ 처럼 존재하지 않는 IP가 찍혀 있고, 계정 생성일이 ‘2023-09-31’로 나와요. 제 정보가 유출된 건가요?","회원님, 걱정 많으셨죠? 우선 ‘192.
300.
1.
256’은 실제로 존재할 수 없는 IP 형식이라 시스템 시각화 과정에서 잘못 노출된 값입니다.
오늘 오전 10:15 (KST) 정상 로그인 1회만 확인되었고, 결제·주문 내역도 온전히 보존되어 있습니다.
이미 데이터 정정 요청을 올렸으며 완료되면 알림 메일로 안내드릴게요.
2단계 인증은 SMS로 활성화돼 있으니 안전하지만, 더 든든하시도록 Authenticator 앱 전환도 돕겠습니다.
추가로 궁금한 점은 티켓 #1로 언제든 말씀 주세요:).
"
2,2,해외 IP 203.0.113.15에서 접속했다고 뜨는데 저는 국내에만 있었어요. 해킹인지 확인해 주세요.,"안녕하세요! 기록을 살펴보니 203.
0.
113.
15 접속은 실제로 콘텐츠 전송 네트워크(CDN) 노드 주소라 해외 로그인으로 오인된 사례였습니다.
실사용 IP는 서울 인근으로 확인되며, 비밀번호 변경 + 2단계 인증을 권장드려요.
필요하시면 새 비밀번호 설정 링크 바로 보내드리겠습니다.
안심하시고 이용 주세요!"
3,3,대시보드에 계정 생성일이 비어 있어요. 결제 기록도 사라진 건 아닌지 걱정돼요.,"회원님, 대시보드 필드 표시 오류로 생성일이 누락됐지만 내부 DB에는 2024‑02‑12로 정확히 저장돼 있습니다.
결제 기록도 정상이며 손상된 데이터는 없습니다.
UI 패치 작업이 오늘 중 완료될 예정이니 조금만 기다려 주세요.
혹시 결제 내역 확인이 급하시면 PDF 명세서를 메일로 보내드릴게요!"
4,4,"알 수 없는 기기로 여러 번 로그인 실패 기록이 있는데, 보안을 강화하고 싶어요.","로그를 확인해 보니 6월 11일 밤 ‘Unknown Device’에서 비밀번호를 세 번 잘못 입력한 시도가 있었어요.
비밀번호 변경과 함께 Authenticator 앱 2단계 인증을 설정하면 재시도 시 즉시 차단됩니다.
설정 링크를 보내드렸으니 2분만 투자해 주세요.
완료 후 다시 알려주시면 추가 보안 점검도 도와드릴게요!"
5,5,서비스 출시 전인 2019년에 계정이 만들어졌다고 나와요. 시스템 오류 아닌가요?,"네, 2019‑12‑15 날짜는 과거 타 플랫폼에서 계정을 마이그레이션할 때 기본값으로 입력된 값입니다.
실제 서비스 가입일은 2021‑04‑03으로 확인되며, 결제·이용 기록은 그 시점부터 있습니다.
등록일을 최신 포맷으로 수정 요청했으니 곧 반영될 예정입니다.
혼란을 드려 죄송합니다!"
6,6,내 기록에 내부망 IP 10.0.0.1이 찍혀 있습니다. 정상인가요?,"10.
0.
0.
1은 사무실 내부망 보안장비를 거칠 때 남는 프록시 IP라 안심하셔도 됩니다.
다만 기록이 헷갈릴 수 있어 외부용 공용 IP로 변환 표시하도록 개선 요청했습니다.
궁금한 점 있으면 언제든 말씀 주세요!"
7,7,IP가 ‘???’로 표시돼 있어요. DB가 깨진 건 아닌지 불안합니다.,"임시 마스킹 필드가 잘못 렌더링돼 ‘???’로 보인 문제입니다.
백엔드에는 192.
0.
2.
44로 정상 저장돼 있어요.
방금 캐시를 초기화했고 1시간 내로 화면도 정상화됩니다.
추가 점검 완료 후 문자로 결과 알려드릴게요:).
"
8,8,우분투 PC에서 로그인했다는데 저는 mac만 쓰거든요. 왜 이런 기록이 생겼죠?,"로그인 당시 브라우저에서 ‘Firefox on Ubuntu’ User‑Agent 헤더가 잘못 전달된 사례입니다.
실제 IP·디바이스 지문은 macOS 사파리와 일치합니다.
브라우저 확장 프로그램이 User‑Agent를 임의 변경했을 수 있으니 확인해 보시고, 불편하시면 헤더 검증 필터를 강화해 두겠습니다!"
9,9,매일 로그인하는데 기록이 하나도 안 보입니다. 데이터 누락 아닌가요?,"로그가 누락된 게 아니라 ‘최근 7일’ 필터가 기본 적용돼 있어요.
기간을 ‘전체’로 변경하시면 모든 기록을 확인할 수 있습니다.
필터 기본값을 명확히 표시하도록 UI 팀에 요청해 두었습니다.
이용에 참고 부탁드려요!"
10,10,같은 시간대에 중복 로그인 기록이 두 개 보입니다. 버그인지 확인해 주세요.,"동일 세션이 탭 분할로 재연결될 때 중복 표시되는 현상입니다.
실제 로그인은 1회이며 세션 ID도 동일합니다.
중복 라인을 합치는 개선안을 이번 주 배포에 포함했습니다.
불편을 드려 죄송해요!"
